loggingSample(N),Run RotationX (rad/s),Run RotationY,Run RotationZ,Walk RotationX,Walk RotationY,Walk RotationZ,Static RotationX,Static RotationY,Static RotationZ,Hybrid RotationX,Hybrid RotationY,Hybrid RotationZ
125,0.713255526,0.761417729,1.12537864,0.011621236,-0.014199176,-0.135257424,-0.018706842,0.054749532,-0.001888448,0.235389973,0.267322695,0.329410923
126,0.824949301,0.84890124,1.127096379,0.039709862,0.022402777,-0.112436264,-0.012544021,0.054735684,-0.003160906,0.284038381,0.3086799,0.337166403
127,1.002151779,0.92868422,1.072594787,0.012278771,0.077334203,-0.085290397,-0.013772538,0.051108991,0.000448476,0.333552671,0.352375805,0.329250955
128,1.190781615,0.982519755,0.952704867,-0.027351197,0.118796426,-0.074972778,-0.01500638,0.053529005,-0.001935585,0.382808013,0.384948395,0.291932168
129,1.352424574,1.01687693,0.825757571,-0.071865402,0.150531719,-0.064659421,-0.018658906,0.043800744,-0.001953162,0.420633422,0.403736464,0.253048329
130,1.406994876,1.006525222,0.731055562,-0.121227625,0.165233699,-0.055599347,-0.018639731,0.041353299,-0.004379302,0.42237584,0.40437074,0.223692304
131,1.387624107,0.972167249,0.678008589,-0.121227625,0.165233699,-0.055599347,-0.022292256,0.036455213,-0.010397514,0.414701409,0.391285387,0.204003909
132,1.391390616,0.924948603,0.71627635,-0.174340379,0.180033152,-0.030822894,-0.022292256,0.036455213,-0.010397514,0.39825266,0.380478989,0.225018647
133,1.391390616,0.924948603,0.71627635,-0.218735274,0.182586058,-0.01827035,-0.022253907,0.031560323,-0.015249793,0.383467145,0.379698328,0.227585402
134,1.450150602,0.896514831,0.854140743,-0.245788197,0.180124765,-0.027638818,-0.019834159,0.037669082,-0.010416955,0.394842749,0.371436226,0.272028323
135,1.492878092,0.905566383,0.95140125,-0.248108876,0.167811107,-0.053007558,-0.017404823,0.042554118,-0.006797186,0.409121464,0.371977203,0.297198835
136,1.049770697,0.932090403,0.835765198,-0.228300283,0.163996395,-0.07735977,-0.021161744,0.054737814,-0.004273575,0.266769557,0.383608204,0.251377284
137,1.049770697,0.932090403,0.835765198,-0.204801882,0.166224395,-0.107745372,-0.029873211,0.074218837,-0.002859436,0.271698535,0.390844545,0.24172013
138,1.049770697,0.932090403,0.835765198,-0.17271878,0.172128623,-0.132173218,-0.032290828,0.065691396,-0.005294897,0.28158703,0.389970141,0.232765694
139,0.176186216,0.764823646,0.788756676,-0.130786243,0.173199214,-0.149501075,-0.027314978,0.058358115,-0.010214821,0.006028332,0.332126992,0.20968026
140,-0.419549072,0.581223989,0.906255343,-0.097524693,0.186437255,-0.167869696,-0.024813205,0.048630387,-0.009093097,-0.18062899,0.27209721,0.243097517
141,-0.750308619,0.34877024,1.036279922,-0.087647561,0.193632318,-0.183609511,-0.021093567,0.044962415,-0.011566375,-0.286349916,0.195788324,0.280368012
142,-0.825447579,0.047311057,1.061851595,-0.113559319,0.202190386,-0.180867786,-0.025988457,0.032838374,-0.00555562,-0.321665118,0.094113272,0.291809396
143,-0.791766581,-0.277933084,0.993262148,-0.162886389,0.20596515,-0.168254789,-0.032131039,0.024365261,0.000490022,-0.328928003,-0.015867558,0.275165794
144,-0.809864358,-0.545080099,0.866489022,-0.215999142,0.211104252,-0.131477067,-0.038294925,0.025588451,0.000563791,-0.354719475,-0.102795799,0.245191915
145,-0.964900547,-0.747710972,0.723486859,-0.266696408,0.212698953,-0.076659358,-0.03584748,0.029235383,0.000558731,-0.422481478,-0.168592212,0.215795411
